UCF101/frame/Basketball/v_Basketball_g01_c01,141,0
UCF101/frame/Basketball/v_Basketball_g01_c02,180,0
UCF101/frame/Basketball/v_Basketball_g01_c03,206,0
UCF101/frame/Basketball/v_Basketball_g01_c04,108,0
UCF101/frame/Basketball/v_Basketball_g01_c05,141,0
UCF101/frame/Basketball/v_Basketball_g01_c06,148,0
UCF101/frame/Basketball/v_Basketball_g01_c07,100,0
UCF101/frame/Basketball/v_Basketball_g02_c01,53,0
UCF101/frame/Basketball/v_Basketball_g02_c02,56,0
UCF101/frame/Basketball/v_Basketball_g02_c03,112,0
UCF101/frame/Basketball/v_Basketball_g02_c04,80,0
UCF101/frame/Basketball/v_Basketball_g02_c05,144,0
UCF101/frame/Basketball/v_Basketball_g02_c06,124,0
UCF101/frame/Basketball/v_Basketball_g03_c01,138,0
UCF101/frame/Basketball/v_Basketball_g03_c02,126,0
UCF101/frame/Basketball/v_Basketball_g03_c03,120,0
UCF101/frame/Basketball/v_Basketball_g03_c04,80,0
UCF101/frame/Basketball/v_Basketball_g03_c05,123,0
UCF101/frame/Basketball/v_Basketball_g03_c06,86,0
UCF101/frame/Basketball/v_Basketball_g04_c01,109,0
UCF101/frame/Basketball/v_Basketball_g04_c02,104,0
UCF101/frame/Basketball/v_Basketball_g04_c03,106,0
UCF101/frame/Basketball/v_Basketball_g04_c04,72,0
UCF101/frame/Basketball/v_Basketball_g05_c01,134,0
UCF101/frame/Basketball/v_Basketball_g05_c02,111,0
UCF101/frame/Basketball/v_Basketball_g05_c03,100,0
UCF101/frame/Basketball/v_Basketball_g05_c04,87,0
UCF101/frame/Basketball/v_Basketball_g06_c01,71,0
UCF101/frame/Basketball/v_Basketball_g06_c02,101,0
UCF101/frame/Basketball/v_Basketball_g06_c03,91,0
UCF101/frame/Basketball/v_Basketball_g06_c04,77,0
UCF101/frame/Basketball/v_Basketball_g07_c01,142,0
UCF101/frame/Basketball/v_Basketball_g07_c02,101,0
UCF101/frame/Basketball/v_Basketball_g07_c03,150,0
UCF101/frame/Basketball/v_Basketball_g07_c04,101,0
UCF101/frame/Basketball/v_Basketball_g15_c01,120,0
UCF101/frame/Basketball/v_Basketball_g15_c02,152,0
UCF101/frame/Basketball/v_Basketball_g15_c03,195,0
UCF101/frame/Basketball/v_Basketball_g15_c04,112,0
UCF101/frame/Basketball/v_Basketball_g15_c05,174,0
UCF101/frame/Basketball/v_Basketball_g15_c06,185,0
UCF101/frame/Basketball/v_Basketball_g15_c07,164,0
UCF101/frame/Basketball/v_Basketball_g16_c01,482,0
UCF101/frame/Basketball/v_Basketball_g16_c02,492,0
